Unnamed: 0,Name,Location,Year,Kilometers_Driven,Mileage,Engine,Power,Seats,Price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third,Car_Age
13,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,12.7,2179.0,187.7,5.0,27.0,False,False,False,False,False,False,11
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,14.84,2143.0,167.62,5.0,28.0,False,False,False,False,False,False,11
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,13.53,1984.0,177.01,5.0,23.5,False,True,False,False,False,False,10
38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,11.74,2987.0,254.8,5.0,28.0,False,False,False,False,False,False,12
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,17.11,1968.0,174.33,5.0,21.43,False,False,False,False,False,False,10
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,11.74,1796.0,186.0,5.0,26.7,False,True,False,False,False,False,10
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,0.0,1950.0,194.0,5.0,35.67,False,False,False,False,False,False,6
75,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,18.53,1968.0,187.74,5.0,29.5,False,False,False,False,True,False,11
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,17.68,1968.0,174.33,5.0,39.58,False,False,False,False,False,False,7
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,14.74,2993.0,270.9,5.0,24.0,False,False,False,False,True,False,14
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,22.69,1995.0,190.0,5.0,20.75,False,False,False,False,False,False,10
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,19.0,2996.0,362.07,2.0,54.0,False,True,False,False,False,False,8
148,Audi RS5 Coupe,Mumbai,2013,23000,11.05,2894.0,444.0,4.0,37.0,False,True,False,False,False,False,12
149,BMW 3 Series Luxury Line,Mumbai,2014,48000,21.76,1995.0,190.0,5.0,26.5,False,False,False,False,False,False,11
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,17.11,1968.0,174.33,5.0,23.32,False,False,False,False,False,False,10
152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,7.81,5461.0,362.9,5.0,30.0,False,True,False,False,False,False,15
168,BMW X5 xDrive 30d,Mumbai,2015,41000,15.3,2993.0,258.0,5.0,45.0,False,False,False,False,False,False,10
169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,19.27,2143.0,167.62,5.0,33.66,False,False,False,False,False,False,8
172,Mercedes-Benz GLC 220,Bangalore,2016,44414,17.9,2143.0,170.0,5.0,42.5,False,False,False,False,False,False,9
176,Mini Countryman Cooper D,Jaipur,2017,8525,16.6,1998.0,112.0,5.0,23.0,False,False,False,False,True,False,8
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,17.68,1968.0,174.33,5.0,22.95,False,False,False,False,False,False,11
182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,22.48,1995.0,190.0,5.0,33.5,False,False,False,False,False,False,11
186,Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,13.0,2143.0,201.1,5.0,32.0,False,False,False,False,False,False,11
191,Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,12.7,2179.0,187.7,5.0,55.76,False,False,False,False,False,False,7
216,Audi A8 L 3.0 TDI quattro,Delhi,2012,56000,11.8,2967.0,246.7,5.0,45.0,False,False,False,False,False,False,13
219,Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,26000,14.67,1798.0,177.46,5.0,26.0,False,True,False,False,False,False,8
224,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,29161,19.27,2143.0,167.62,5.0,39.41,False,False,False,False,False,False,7
228,Mini Cooper Convertible S,Kochi,2017,26327,16.82,1998.0,189.08,4.0,35.67,False,True,False,False,False,False,8
255,Hyundai Tucson 2.0 e-VGT 2WD AT GLS,Kochi,2018,51346,16.38,1995.0,183.0,5.0,21.99,False,False,False,False,False,False,7
264,Mercedes-Benz GLE 350d,Coimbatore,2017,29819,11.57,2987.0,254.79,5.0,61.29,False,False,False,False,False,False,8
271,BMW X3 xDrive30d M Sport,Coimbatore,2017,51982,16.55,2993.0,258.0,5.0,45.77,False,False,False,False,False,False,8
282,Audi Q7 3.0 TDI Quattro Technology,Kochi,2018,11287,12.07,2967.0,241.4,7.0,70.36,False,False,False,False,False,False,7
291,BMW 5 Series 2003-2012 520d,Pune,2015,64000,18.48,1995.0,177.0,5.0,28.0,False,False,False,False,False,False,10
298,Toyota Innova Crysta 2.4 ZX MT,Chennai,2016,48000,13.68,2393.0,147.8,7.0,20.25,False,False,True,False,False,False,9
