Unnamed: 0,Name,Location,Year,Kms_Driven,Mileage,Engine_CC,Power_bhp,Seats,Price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third,Car_Age
1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,19.67,1582.0,126.2,5.0,12.5,False,False,True,False,False,False,10
2,Honda Jazz V,Chennai,2011,46000,13.0,1199.0,88.7,5.0,4.5,False,True,True,False,False,False,14
3,Maruti Ertiga VDI,Chennai,2012,87000,20.77,1248.0,88.76,7.0,6.0,False,False,True,False,False,False,13
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,15.2,1968.0,140.8,5.0,17.74,False,False,False,False,True,False,12
6,Nissan Micra Diesel XV,Jaipur,2013,86999,23.08,1461.0,63.1,5.0,3.5,False,False,True,False,False,False,12
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,11.36,2755.0,171.5,8.0,17.5,False,False,False,False,False,False,9
8,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,20.54,1598.0,103.6,5.0,5.2,False,False,True,False,False,False,12
9,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,22.3,1248.0,74.0,5.0,1.95,False,False,True,False,True,False,13
10,Maruti Ciaz Zeta,Kochi,2018,25692,21.56,1462.0,103.25,5.0,9.95,False,True,True,False,False,False,7
11,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,16.8,1497.0,116.3,5.0,4.49,False,True,False,False,False,False,13
12,Maruti Swift VDI BSIV,Jaipur,2015,64424,25.2,1248.0,74.0,5.0,5.6,False,False,True,False,False,False,10
13,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,12.7,2179.0,187.7,5.0,27.0,False,False,False,False,False,False,11
14,Land Rover Freelander 2 TD4 SE,Pune,2012,85000,0.0,2179.0,115.0,5.0,17.5,False,False,False,False,True,False,13
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,13.5,2477.0,175.56,7.0,15.0,False,False,True,False,False,False,11
16,Honda Amaze S i-Dtech,Kochi,2016,58950,25.8,1498.0,98.6,5.0,5.4,False,False,True,False,False,False,9
17,Maruti Swift DDiS VDI,Jaipur,2017,25000,28.4,1248.0,74.0,5.0,5.99,False,False,True,False,False,False,8
18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,20.45,1461.0,83.8,5.0,6.34,False,False,True,False,False,False,11
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,14.84,2143.0,167.62,5.0,28.0,False,False,False,False,False,False,11
20,BMW 3 Series 320d,Kochi,2014,32982,22.69,1995.0,190.0,5.0,18.55,False,False,False,False,False,False,11
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,23.65,1248.0,88.5,5.0,8.25,False,False,True,False,True,False,10
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,13.53,1984.0,177.01,5.0,23.5,False,True,False,False,False,False,10
23,Hyundai i20 1.2 Magna,Kolkata,2010,45807,18.5,1197.0,80.0,5.0,1.87,False,True,True,False,False,False,15
24,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,14.4,1598.0,103.6,5.0,2.85,False,True,False,False,False,False,15
25,Honda City Corporate Edition,Mumbai,2012,51920,16.8,1497.0,116.3,5.0,4.25,False,True,True,False,False,False,13
26,Nissan Micra Diesel XV,Hyderabad,2012,54000,16.48,1461.0,63.1,5.0,4.25,False,False,True,False,False,False,13
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,20.92,998.0,67.1,5.0,2.75,False,True,True,False,True,False,12
28,Honda WRV i-VTEC VX,Kochi,2018,37430,17.5,1199.0,88.7,5.0,9.9,False,True,True,False,False,False,7
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,12.8,2494.0,102.0,7.0,4.0,False,False,True,True,False,False,18
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,19.01,1461.0,108.45,5.0,7.75,False,False,True,False,False,False,12
31,Toyota Corolla Altis G,Delhi,2012,87615,14.53,1798.0,138.1,5.0,6.75,False,True,True,False,False,False,13
32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,11.18,2696.0,184.0,7.0,12.5,False,False,False,False,True,False,12
33,Audi A6 2.7 TDI,Kolkata,2010,35000,12.4,2698.0,179.5,5.0,11.5,False,False,False,False,False,False,15
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,16.09,1598.0,103.5,5.0,6.98,False,True,True,False,True,False,11
35,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,14.0,1061.0,64.0,5.0,1.85,False,True,True,False,True,False,16
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,24.3,1248.0,88.5,5.0,8.63,False,False,True,False,False,False,7
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,18.15,1198.0,82.0,5.0,4.85,False,True,True,False,False,False,8
38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,11.74,2987.0,254.8,5.0,28.0,False,False,False,False,False,False,12
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,22.07,1199.0,73.9,5.0,5.0,False,False,True,False,False,False,12
40,Maruti Alto LXi,Delhi,2008,90000,19.7,796.0,46.3,5.0,1.25,False,True,True,False,True,False,17
41,Tata Nano LX SE,Kochi,2014,19698,25.4,624.0,37.5,4.0,1.53,False,True,True,False,False,False,11
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,25.32,1198.0,77.0,6.0,5.58,False,False,True,False,False,False,8
43,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,18.5,1197.0,82.9,5.0,4.74,False,True,True,False,False,False,11
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,14.62,1999.0,149.92,5.0,8.85,False,True,False,False,False,False,11
45,Toyota Corolla Altis G AT,Mumbai,2016,52001,14.28,1798.0,138.03,5.0,10.11,False,True,False,False,False,False,9
46,Hyundai Elantra CRDi,Ahmedabad,2008,58005,14.9,1991.0,112.2,5.0,4.25,False,False,True,False,True,False,17
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,11.25,2694.0,163.7,7.0,10.95,False,True,True,False,False,False,13
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,24.4,1120.0,71.0,5.0,3.85,False,False,True,False,False,False,11
49,Mahindra Thar CRDe AC,Jaipur,2012,75800,16.55,2498.0,105.0,6.0,5.5,False,False,True,False,True,False,13
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,17.11,1968.0,174.33,5.0,21.43,False,False,False,False,False,False,10
51,Maruti Swift LDI,Delhi,2014,52000,22.9,1248.0,74.0,5.0,4.25,False,False,True,False,False,False,11
52,Maruti Swift Ldi BSIV,Kolkata,2014,53000,17.8,1248.0,75.0,5.0,3.3,False,False,True,False,False,False,11
53,Maruti Swift VDI,Delhi,2013,65650,28.4,1248.0,74.0,5.0,3.85,False,False,True,False,False,False,12
54,Hyundai Grand i10 Sportz,Chennai,2015,54000,18.9,1197.0,82.0,5.0,3.6,False,True,True,False,False,True,10
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,15.04,1598.0,103.2,5.0,3.99,False,True,True,False,False,False,10
56,Renault KWID RXT,Kochi,2017,16542,25.17,799.0,53.3,5.0,3.3,False,True,True,False,False,False,8
57,Hyundai i10 Asta,Kolkata,2010,32000,20.36,1197.0,78.9,5.0,2.07,False,True,True,False,False,False,15
58,Nissan X-Trail SLX AT,Hyderabad,2010,121812,9.49,1995.0,147.6,5.0,7.75,False,False,False,False,False,False,15
59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,18.2,998.0,67.1,5.0,2.25,False,True,True,False,False,False,15
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,13.68,2393.0,147.8,8.0,16.5,False,False,True,False,False,False,8
61,Ford Figo Diesel Titanium,Bangalore,2010,72000,20.0,1399.0,68.0,5.0,2.75,False,False,True,False,False,False,15
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,11.74,1796.0,186.0,5.0,26.7,False,True,False,False,False,False,10
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,15.8,2148.0,170.0,5.0,10.0,False,False,True,False,True,False,14
64,Tata Indica V2 eLS,Chennai,2016,178000,25.0,1396.0,69.0,5.0,2.5,False,False,True,False,False,False,9
65,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,16.55,1968.0,140.0,5.0,13.5,False,False,False,False,False,False,13
66,Honda City ZX CVT,Mumbai,2007,63000,16.4,1497.0,78.0,5.0,1.85,False,True,False,False,True,False,18
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,0.0,1950.0,194.0,5.0,35.67,False,False,False,False,False,False,6
68,Maruti Ertiga SHVS VDI,Pune,2016,63000,24.52,1248.0,88.5,7.0,8.15,False,False,True,False,False,False,9
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,22.1,1396.0,88.7,5.0,10.5,False,False,True,False,False,False,7
