Name,Location,Year,Car_Age,Price
Hyundai Creta 1.6 CRDi SX Option,Pune,2015,10,12.5
Honda Jazz V,Chennai,2011,14,4.5
Maruti Ertiga VDI,Chennai,2012,13,6.0
Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,12,17.74
Nissan Micra Diesel XV,Jaipur,2013,12,3.5
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,9,17.5
Volkswagen Vento Diesel Comfortline,Pune,2013,12,5.2
Tata Indica Vista Quadrajet LS,Chennai,2012,13,1.95
Maruti Ciaz Zeta,Kochi,2018,7,9.95
Honda City 1.5 V AT Sunroof,Kolkata,2012,13,4.49
Maruti Swift VDI BSIV,Jaipur,2015,10,5.6
Land Rover Range Rover 2.2L Pure,Delhi,2014,11,27.0
Land Rover Freelander 2 TD4 SE,Pune,2012,13,17.5
Mitsubishi Pajero Sport 4X4,Delhi,2014,11,15.0
Honda Amaze S i-Dtech,Kochi,2016,9,5.4
Maruti Swift DDiS VDI,Jaipur,2017,8,5.99
Renault Duster 85PS Diesel RxL Plus,Kochi,2014,11,6.34
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,11,28.0
BMW 3 Series 320d,Kochi,2014,11,18.55
Maruti S Cross DDiS 200 Alpha,Bangalore,2015,10,8.25
Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,10,23.5
Hyundai i20 1.2 Magna,Kolkata,2010,15,1.87
Volkswagen Vento Petrol Highline AT,Kolkata,2010,15,2.85
Honda City Corporate Edition,Mumbai,2012,13,4.25
Nissan Micra Diesel XV,Hyderabad,2012,13,4.25
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,12,2.75
Honda WRV i-VTEC VX,Kochi,2018,7,9.9
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,18,4.0
Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,12,7.75
Toyota Corolla Altis G,Delhi,2012,13,6.75
Mahindra Ssangyong Rexton RX7,Bangalore,2013,12,12.5
Audi A6 2.7 TDI,Kolkata,2010,15,11.5
Volkswagen Vento 1.6 Highline,Coimbatore,2014,11,6.98
Maruti Wagon R LXI BSIII,Jaipur,2009,16,1.85
Maruti Vitara Brezza ZDi Plus,Kochi,2018,7,8.63
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,8,4.85
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,12,28.0
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,12,5.0
Maruti Alto LXi,Delhi,2008,17,1.25
Tata Nano LX SE,Kochi,2014,11,1.53
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,8,5.58
Hyundai i20 Magna Optional 1.2,Kochi,2014,11,4.74
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,11,8.85
Toyota Corolla Altis G AT,Mumbai,2016,9,10.11
Hyundai Elantra CRDi,Ahmedabad,2008,17,4.25
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,13,10.95
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,11,3.85
Mahindra Thar CRDe AC,Jaipur,2012,13,5.5
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,10,21.43
Maruti Swift LDI,Delhi,2014,11,4.25
Maruti Swift Ldi BSIV,Kolkata,2014,11,3.3
Maruti Swift VDI,Delhi,2013,12,3.85
Hyundai Grand i10 Sportz,Chennai,2015,10,3.6
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,10,3.99
Renault KWID RXT,Kochi,2017,8,3.3
Hyundai i10 Asta,Kolkata,2010,15,2.07
Nissan X-Trail SLX AT,Hyderabad,2010,15,7.75
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,15,2.25
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,8,16.5
Ford Figo Diesel Titanium,Bangalore,2010,15,2.75
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,10,26.7
Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,14,10.0
Tata Indica V2 eLS,Chennai,2016,9,2.5
